SQL,depend_on_c,Programming language
Memory management,depend_on_c,Computing
Distributed computing,depend_on_c,Discrete mathematics
Computational complexity theory,depend_on_c,Complexity
Finite-state machine,depend_on_c,Foundations of mathematics
Cryptographic hash function,depend_on_c,Probability theory
Halting problem,depend_on_c,Automata theory
String searching algorithm,depend_on_c,Algorithm
Shortest path problem,depend_on_c,Algorithm
Python (programming language),depend_on_c,Data
Parsing,depend_on_c,Automata theory
Volume rendering,depend_on_c,Algorithm design
Communications protocol,depend_on_c,Logic
Cloud computing,depend_on_c,Computer
Internet Protocol Suite,depend_on_c,Arithmetic
Communications protocol,depend_on_c,Computing
Java (programming language),depend_on_c,Object-oriented programming
Index (database),depend_on_c,Algorithm design
Logic programming,depend_on_c,Computing
Type system,depend_on_c,Data structure
Monte Carlo method,depend_on_c,Algorithm
Cache coherence,depend_on_c,Computing
NP (complexity),depend_on_c,Computation
SQL,depend_on_c,Computational science
Divide and conquer algorithm,depend_on_c,Recursion
Document classification,depend_on_c,Logic
Software design,depend_on_c,Computer programming
Database management system,depend_on_c,Relational algebra
Instruction set,depend_on_c,Arithmetic
Concurrency control,depend_on_c,Data structure
C (programming language),depend_on_c,Automata theory
Imperative programming,depend_on_c,Computability
Automatic programming,depend_on_c,Data structure
Neural network,depend_on_c,Computational science
Virtual memory,depend_on_c,Computer programming
Scientific visualization,depend_on_c,Algorithm design
Parallel computing,depend_on_c,Discrete mathematics
Java (programming language),depend_on_c,Data type
Database management system,depend_on_c,Data (computing)
Compiler,depend_on_c,Computer
Design of experiments,depend_on_c,Statistical inference
Undecidable problem,depend_on_c,Polynomial
Parallel algorithm,depend_on_c,Combinatorics
Lexical analysis,depend_on_c,Discrete mathematics
Lisp (programming language),depend_on_c,Logic programming
Numerical analysis,depend_on_c,Computing
Lexical analysis,depend_on_c,Theory of computation
Randomness,depend_on_c,Mathematics
Software development,depend_on_c,Object (computer science)
JavaScript,depend_on_c,Computer
Congestion control,depend_on_c,Graph (mathematics)
Support vector machine,depend_on_c,Mathematics
Compiler,depend_on_c,Natural language
Database normalization,depend_on_c,Object (computer science)
Concurrency control,depend_on_c,Computation
NP (complexity),depend_on_c,Integer
Newton's method,depend_on_c,Floating point
Public-key cryptography,depend_on_c,Algorithm
Machine translation,depend_on_c,Foundations of mathematics
Operating system,depend_on_c,Computer
Sentiment analysis,depend_on_c,Machine learning
Distributed computing,depend_on_c,Computer science
Context-free grammar,depend_on_c,Graph theory
Distributed algorithms,depend_on_c,Discrete mathematics
Computational chemistry,depend_on_c,Number theory
