A,B,result
Parallel_algorithm,Mathematical_induction,1
Computational_chemistry,Computability,1
Finite_difference,Partial_differential_equation,1
First-order_logic,Recursion,1
Program_optimization,Computer_science,1
Coding_theory,Graph_theory,1
Algorithm,Mathematical_induction,1
Distributed_algorithms,Computer_science,1
Index_(database),Database,1
Programming_paradigm,Automata_theory,1
Lisp_(programming_language),Recursion_(computer_science),1
Debugging,Programming_language,1
Parsing,Automata_theory,1
Artificial_intelligence,Problem_solving,1
First-order_logic,Control_flow,1
Hidden_Markov_model,Mathematical_optimization,1
Suffix_tree,Regular_expression,1
Software_development,Theory_of_computation,1
Lexical_analysis,String_(computer_science),1
Program_analysis,Graph_theory,1
Multiplication,Foundations_of_mathematics,1
Network_security,Data_(computing),1
Robotics,Introduction_to_Algorithms,1
Algorithm,Computability,1
Algorithm_design,Problem_solving,1
Monte_Carlo_method,Logic,1
Computational_complexity_theory,Computational_problem,1
Logic_programming,Discrete_mathematics,1
Multi-core_processor,Computer,1
Compiler,Discrete_mathematics,1
Pattern_matching,Data_structure,1
Analysis_of_algorithms,Algebra,1
Cryptographic_hash_function,Cryptography,1
Parsing,Polynomial,1
Interaction_design,Computer_programming,1
Mathematical_model,Foundations_of_mathematics,1
Web_search_engine,Combinatorics,1
Lisp_(programming_language),Variable_(computer_science),1
SQL,Data_structure,1
Machine_translation,Problem_solving,1
Scope_(computer_science),Computer,1
Perl,Compiler,1
Monad_(functional_programming),Computer_programming,1
Hidden_Markov_model,Machine_learning,1
Data_mining,Data_(computing),1
Least_squares,Mathematics,1
Java_(programming_language),Computer,1
Cryptanalysis,Probability_theory,1
Computer_graphics,Computing,1
Sentiment_analysis,Natural_language_processing,1
Application_software,Digital_electronics,1
Speech_recognition,Graph_theory,1
Artificial_intelligence,Number_theory,1
Monte_Carlo_method,Random_variable,1
Divide_and_conquer_algorithm,Control_flow,1
Atomicity_(database_systems),Object_(computer_science),1
String_searching_algorithm,Abstraction_(computer_science),1
Semidefinite_programming,Introduction_to_Algorithms,1
C++,Computer,1
B-tree,Mathematics,1
Inference,Uncertainty,1
Sentiment_analysis,Graph_theory,1
Machine_learning,Integer,1
Software_design,Computational_science,1
Parsing,Computer_programming,1
Dynamic_programming,Iterative_method,1
Relational_model,Foundations_of_mathematics,1
Digital_signature,Logic,1
Traffic_analysis,Mathematical_proof,1
Scheduling_(computing),Computation,1
Computational_complexity_theory,Algorithm_design,1
Undecidable_problem,Combinatorics,1
String_(computer_science),Data_structure,1
Relational_model,Programming_language,1
Robotics,Object-oriented_programming,1
Object-oriented_programming,Foundations_of_mathematics,1
Algorithm,Logic,1
Software_development,Abstract_data_type,1
Discrete_mathematics,Mathematical_proof,1
HTML,Arithmetic,1
Public-key_cryptography,Integer,1
