SQL,Programming language,1
Memory management,Computing,1
Distributed computing,Discrete mathematics,1
Number theory,Atomicity (database systems),0
Computational complexity theory,Complexity,1
Embedded system,Instruction set,0
Finite-state machine,Foundations of mathematics,1
Concurrent computing,Central processing unit,0
3D modeling,Application programming interface,0
Scientific visualization,P versus NP problem,0
Compiler optimization,Deadlock,0
Cryptographic hash function,Probability theory,1
Kinematics,Natural language processing,0
Halting problem,Automata theory,1
String searching algorithm,Algorithm,1
Superscalar,Very long instruction word,0
Data,Statistical inference,0
Shortest path problem,Algorithm,1
Python (programming language),Data,1
Parsing,Automata theory,1
Statistical hypothesis testing,Computational geometry,0
Volume rendering,Algorithm design,1
PageRank,Routing,0
Parametric polymorphism,Theoretical computer science,0
Query language,Vulnerability (computing),0
Peer-to-peer,Lexical analysis,0
Communications protocol,Logic,1
Cloud computing,Computer,1
Algebra,Debugging,0
Internet Protocol Suite,Arithmetic,1
Communications protocol,Computing,1
Arithmetic logic unit,Scalability,0
Large deviations theory,Relational database,0
Random graph,Conditional probability,0
Shading,Wavelet,0
Java (programming language),Object-oriented programming,1
Randomness,Unix,0
Index (database),Algorithm design,1
Automata theory,Continuous function,0
Logic programming,Computing,1
Support vector machine,Poisson distribution,0
Type system,Data structure,1
Randomization,Computer simulation,0
Web server,Halting problem,0
Monte Carlo method,Algorithm,1
Cache coherence,Computing,1
Programming style,Rendering (computer graphics),0
NP (complexity),Computation,1
SQL,Computational science,1
Combinatorics,Big data,0
Virtual memory,Rendering (computer graphics),0
Divide and conquer algorithm,Recursion,1
Inter-process communication,Digital electronics,0
3D computer graphics,Shared memory,0
Functional programming,Virtual reality,0
Sequence alignment,Shading,0
Document classification,Logic,1
Compiler optimization,Context-free grammar,0
Software design,Computer programming,1
Data mining,Superscalar,0
Database management system,Relational algebra,1
Concurrency (computer science),Regular expression,0
Expert system,Theory of computation,0
Instruction set,Arithmetic,1
Concurrency control,Data structure,1
Data (computing),Analysis of algorithms,0
Polynomial,Structured programming,0
C (programming language),Automata theory,1
Interface (computing),Database,0
Stack (data structure),Mechanical engineering,0
First-order logic,Rendering (computer graphics),0
Computer simulation,Randomization,0
Imperative programming,Computability,1
Peer-to-peer,Software design,0
Automatic programming,Data structure,1
B-tree,Complexity class,0
Neural network,Computational science,1
Virtual memory,Computer programming,1
Poisson distribution,Concurrent computing,0
Scientific visualization,Algorithm design,1
Computer,Signal processing,0
Automated planning and scheduling,Geometry,0
Arithmetic logic unit,Procedural programming,0
Parallel computing,Discrete mathematics,1
Java (programming language),Data type,1
Graphical user interface,Regular language,0
Database management system,Data (computing),1
Approximation algorithm,Memory hierarchy,0
Correlation and dependence,Shortest path problem,0
Compiler,Computer,1
Stack (data structure),Database design,0
Suffix tree,Data mining,0
Design of experiments,Statistical inference,1
Semantics,Database transaction,0
Hidden line removal,Numerical analysis,0
Transaction processing,Knowledge representation and reasoning,0
Algebra,User interface,0
Automata theory,Conditional probability,0
Peer-to-peer,C++,0
Undecidable problem,Polynomial,1
Parallel algorithm,Combinatorics,1
Stochastic,String (computer science),0
Lexical analysis,Discrete mathematics,1
OSI model,Introduction to Algorithms,0
Lisp (programming language),Logic programming,1
Abstraction (computer science),Social network,0
Numerical analysis,Computing,1
Lexical analysis,Theory of computation,1
Randomness,Mathematics,1
Context-free language,Cryptography,0
Peer-to-peer,Context-free language,0
Software development,Object (computer science),1
JavaScript,Computer,1
Congestion control,Graph (mathematics),1
Correlation and dependence,Computational learning theory,0
Support vector machine,Mathematics,1
Lisp (programming language),Monad (functional programming),0
Compiler,Natural language,1
Database normalization,Object (computer science),1
Concurrency control,Computation,1
NP (complexity),Integer,1
Graphics processing unit,Regular language,0
MapReduce,Arithmetic,0
Newton's method,Floating point,1
Public-key cryptography,Algorithm,1
Machine translation,Foundations of mathematics,1
Operating system,Computer,1
Statistical hypothesis testing,Halting problem,0
Quantum mechanics,Martingale (probability theory),0
Sentiment analysis,Machine learning,1
Continuous function,Abstraction (computer science),0
Routing,Lazy evaluation,0
Distributed computing,Computer science,1
Amortized analysis,Pipeline (computing),0
Context-free grammar,Graph theory,1
Multiplication,Lexical semantics,0
Distributed algorithms,Discrete mathematics,1
Computational chemistry,Number theory,1
PSPACE,Polynomial,1
Logic programming,Calculus,0
Sentiment analysis,Computer programming,1
Speech recognition,Probability theory,1
Numerical analysis,Foundations of mathematics,1
Data structure,Computer,1
C (programming language),Problem solving,0
Knowledge representation and reasoning,Computer,1
Estimation theory,Digital electronics,0
String searching algorithm,Algorithm design,0
Computational problem,Rendering (computer graphics),0
Functional programming,Computational complexity theory,1
Semantics of programming languages,Queue (data structure),0
Transaction processing,Object (computer science),1
String (computer science),Data type,1
Haskell (programming language),Time complexity,0
Machine learning,Computer,1
Symmetric multiprocessing,Machine learning,0
Probability theory,Foundations of mathematics,1
Computational geometry,Computing,1
Monad (functional programming),Scalability,0
Central processing unit,Computer science,1
Superscalar,Computer science,1
Computer programming,Formal language,0
NP (complexity),Computer,1
Sequence alignment,Internet Protocol Suite,0
Prolog,Mutual exclusion,0
Programming style,Computational complexity theory,1
Finite element method,Run time (program lifecycle phase),0
Recommender system,Vulnerability (computing),0
Procedural programming,Arithmetic,0
Problem solving,Message Passing Interface,0
Number theory,Data mining,0
PSPACE,Computational problem,1
Computability,Interpolation,0
Time complexity,Foundations of mathematics,1
Web search engine,Mathematical induction,1
Least squares,Approximation,1
Interactivity,Computer science,1
Compiler optimization,Mobile device,0
Index (database),Relational model,1
Hash table,Computer science,1
Programming language,Data structure,1
Inequality (mathematics),Scripting language,0
Finite difference,Human-computer interaction,0
Relational database management system,Relational algebra,1
Gradient descent,Mathematics,1
Volume rendering,Graphics,1
Artificial intelligence,Computational geometry,0
Floating point,Web service,0
Finite set,Approximation algorithm,0
Processor register,World Wide Web,0
Approximation,Computability,0
Database management system,Data,1
Parsing,Natural language,1
Machine translation,Computer programming,1
Robotics,Artificial intelligence,1
Round-off error,Computer security,0
Parsing,Markov chain,0
Memory management,Computer programming,1
Expert system,Database normalization,0
ML (programming language),Software development,0
Monte Carlo method,Iterative method,1
Procedural programming,B-tree,0
Artificial intelligence,Quantum cryptography,0
JavaScript,Computational science,1
Parsing,Data,1
Computer vision,Computability,0
Data structure,Computer multitasking,0
CPU cache,Central processing unit,1
Linear programming,Iterative method,1
Concurrency control,Foundations of mathematics,1
Concurrency control,Mathematics,1
Computer,"Best, worst and average case",0
First-order logic,Big data,0
Dynamic programming,Computation,1
Computational complexity theory,Iterative method,1
Abstraction (computer science),Procedural programming,0
Recommender system,Data structure,0
Semidefinite programming,Introduction to Algorithms,1
Web browser,Application programming interface,0
Computer programming,Number theory,1
Algorithm design,Exponential family,0
Support vector machine,Polynomial,1
Modular programming,Theoretical computer science,0
Software engineering,Foundations of mathematics,1
Operating system,Hidden Markov model,0
Java (programming language),Recursively enumerable set,0
Randomized algorithm,Program optimization,0
Computational complexity theory,Integer,1
MATLAB,Computer,1
Theoretical computer science,Graph theory,1
Internet,Regular expression,0
Kernel (computing),Computer,1
Recursively enumerable set,Finite set,1
Concurrency (computer science),Computing,1
Variable (computer science),Arithmetic,1
Bioinformatics,Asymptotic analysis,1
Scheduling (computing),Computation,1
Mathematical induction,Calculus of variations,0
Database,Algebra,0
Natural language,Semantics of programming languages,0
Software development,3D computer graphics,0
Computational learning theory,Logic programming,0
Shared memory,Randomness,0
Kernel (computing),Program analysis,0
Analysis of algorithms,Arithmetic,1
Malware,Graph (mathematics),1
Scalability,Sentiment analysis,0
Robotics,Turing machine,1
Theoretical computer science,Pattern recognition,0
Virtual reality,Computer graphics,1
Authentication,Data analysis,0
Array data structure,Application software,0
Computability,Unix,0
Recursion,Stochastic process,0
Polymorphism (computer science),Computer science,1
Object (computer science),Computer science,1
Data type,Automata theory,1
Object (computer science),Computability,0
Part-of-speech tagging,Kalman filter,0
Scripting language,Differential equation,0
Pattern recognition,String searching algorithm,0
Debugging,Computer programming,1
Software design,Algorithm,1
Speech recognition,Foundations of mathematics,1
Prolog,Data structure,1
Data mining,Control flow,0
Web browser,Computer,1
Combinational logic,Algebra,0
Cryptanalysis,Uncertainty,0
Random graph,Object (computer science),0
Document classification,Probability theory,1
String searching algorithm,Graph theory,1
Algorithm,Logic,1
Fast Fourier transform,Pattern matching,0
Cloud computing,Graph (mathematics),1
Database system,Computer science,1
OSI model,Computer network,1
Social network,Variable (computer science),0
Linear programming,Mathematical optimization,1
Coding theory,Theoretical computer science,1
String (computer science),Formal grammar,0
Virtual memory,Linear algebra,0
Pattern recognition,Mathematics,1
Sentiment analysis,Relational database management system,0
Support vector machine,Problem solving,1
Array data structure,Cluster analysis,0
Thread (computer science),Prediction,0
Entropy,Graph (mathematics),0
Atomicity (database systems),Database,1
Discrete mathematics,Formal language,0
Graph coloring,Algorithm design,1
Inequality (mathematics),Database normalization,0
Concurrent computing,Arithmetic,1
C++,Computational complexity theory,1
Automata theory,Model checking,0
Part-of-speech tagging,Predicate logic,0
Finite element method,Numerical analysis,1
Complexity,Linear programming,0
Modular arithmetic,Mathematical proof,1
B-tree,Mathematics,1
Theoretical computer science,Computer,1
Artificial intelligence,Mathematical induction,1
Shared memory,Operating system,0
Sentiment analysis,Natural language processing,1
Network security,Shading,0
Finite-state machine,Discrete mathematics,1
Automated theorem proving,Mathematics,1
Software design,Computing,1
Computer graphics,Computing,1
Artificial intelligence,Digital electronics,1
Combinational logic,Uncertainty,0
Boundary value problem,Signal processing,0
Fourier analysis,Volume rendering,0
Algorithm,Abstraction (computer science),1
Halting problem,Computation,1
Model of computation,Polynomial,1
Decision theory,MATLAB,0
Volume rendering,Discrete mathematics,0
Programming paradigm,Number theory,1
Monte Carlo method,Logic,1
Web browser,Information theory,0
Database management system,Graph theory,1
3D computer graphics,Query optimization,0
Natural language processing,Computer science,1
Information theory,Input/output,0
Programming style,Computer science,1
Virtual reality,Data,1
Graphical user interface,Combinatorics,0
Machine translation,Computation,1
Kalman filter,NP (complexity),0
Java (programming language),Data,1
Index (database),Data,1
Social network,Firewall (computing),0
Lexical analysis,Markov chain,0
Software engineering,Support vector machine,0
Genetic algorithm,Newton's method,0
Abstraction (computer science),Shared memory,0
Symbol table,Computer programming,1
Traffic analysis,Recommender system,0
Computer programming,Arithmetic,1
Computational complexity theory,Neural network,0
Feature extraction,Integer,1
Gradient descent,Integer,1
Dynamic programming,Computer,1
Graph theory,Discrete mathematics,1
Haskell (programming language),Logic,1
Profiling (computer programming),Arithmetic,1
Bayesian network,Transaction processing,0
Regular expression,High-level programming language,0
Compiler,Regular expression,1
Matrix (mathematics),Security,0
Probability,OSI model,0
Interpolation,Matrix (mathematics),1
Combinatorics,Graph theory,0
JavaScript,Computing,1
Economics,Random variable,1
JavaScript,Internet Protocol Suite,0
Flow network,Wireless sensor network,0
Application programming interface,Computational complexity theory,1
Mechanical engineering,Machine learning,0
Computational chemistry,Foundations of mathematics,1
Decision theory,Computer science,1
Coding theory,Computer science,1
SQL,Integer,0
MATLAB,Algorithm design,0
Stochastic process,Uncertainty,1
Shading,Encryption,0
Autonomous robot,Computation,1
Model of computation,Computer,1
Computer security,Logic,1
Poisson distribution,Randomization,0
Inequality (mathematics),Nonlinear system,0
Graphical model,Statistics,1
Robotics,Logic,1
Relational model,Formal language,0
Robot,Run time (program lifecycle phase),0
Relational database management system,Sequence alignment,0
Program optimization,Software engineering,0
Shortest path problem,Recursively enumerable set,0
Expert system,Algorithm,1
Machine learning,Computer science,1
PageRank,Matrix (mathematics),0
Coding theory,Traffic analysis,0
Robotics,Programming language,1
Analysis of algorithms,Model checking,0
Interactivity,Martingale (probability theory),0
Internet Protocol Suite,Sufficient statistic,0
Context-free grammar,Number theory,1
Spanning tree,Foundations of mathematics,1
Quantum computer,Automated planning and scheduling,0
Graph coloring,OSI model,0
Analysis of algorithms,Introduction to Algorithms,1
Calculus,Assembly language,0
Type system,Amortized analysis,0
C++,Congestion control,0
Reinforcement learning,Numerical analysis,1
Parallel algorithm,Theoretical computer science,1
Database normalization,Data (computing),1
Lexical semantics,Semantics,1
Knowledge representation and reasoning,Mathematical induction,1
JavaScript,Finite difference,0
Big data,Logic,1
Pattern recognition,Computer science,1
MapReduce,Computer science,1
Computer security,Computer,1
Part-of-speech tagging,Computer simulation,0
Introduction to Algorithms,Control flow,0
Control flow,Digital electronics,1
Quantum mechanics,Algorithm,0
Interpolation,Algorithm,1
Hidden line removal,Discrete mathematics,1
Discrete mathematics,Combinatorics,0
Divide and conquer algorithm,Algorithm,1
PSPACE,Computation,1
Mechanical engineering,Round-off error,0
Sequence alignment,Arithmetic,0
Computational geometry,Problem solving,1
Regular language,NP-complete,0
Computer security,Security,1
Undecidable problem,Mutual exclusion,0
Mobile device,Computer,1
Transaction processing,Foundations of mathematics,1
Pattern matching,Variable (computer science),1
Model of computation,Finite-state machine,0
Software framework,Natural language processing,0
Lexical analysis,Regular expression,1
Analysis of algorithms,Computational science,1
User interface,Logic,1
Type system,Computer science,1
Modular programming,Programming language,1
Integer,Memory hierarchy,0
Concurrency (computer science),Denotational semantics,0
Newton's method,Algorithm,1
Machine translation,Combinatorics,1
Concurrency (computer science),Recurrence relation,0
SQL,Scalability,0
Question answering,Graph theory,1
Atomicity (database systems),Part-of-speech tagging,0
Divide and conquer algorithm,Computation,1
Array data structure,Semantics,0
Uncertainty,World Wide Web,0
Database design,Signal processing,0
Large deviations theory,Fourier analysis,0
Message Passing Interface,Synchronization,1
Robot,Problem solving,0
Economics,Linear algebra,1
Poisson distribution,Superscalar,0
Lexical analysis,String (computer science),1
Variable (computer science),Relational algebra,0
Debugging,Control flow,1
Newton's method,Run time (program lifecycle phase),0
Abstraction (computer science),Modular programming,0
Programmer,Cluster analysis,0
Parametric polymorphism,Data type,1
Structured programming,Cache coherence,0
Java (programming language),Formal verification,0
Algorithm design,Mathematical induction,1
MATLAB,Data analysis,0
Lisp (programming language),Generic programming,1
Scientific visualization,Natural language,0
Analysis of algorithms,Linear system,0
Martingale (probability theory),Assembly language,0
Java (programming language),Computing,1
Java (programming language),Parsing,1
Recursion,Discrete mathematics,1
Recursively enumerable set,CPU cache,0
Quantum cryptography,Large deviations theory,0
First-order logic,Approximation algorithm,0
Program analysis,Autonomous robot,0
ML (programming language),Profiling (computer programming),0
Calculus of variations,Mathematics,1
Least squares,Software framework,0
Type system,Computability,1
Computability,Logic,1
Computational chemistry,Computational complexity theory,1
User interface design,Rendering (computer graphics),0
Lisp (programming language),Graph theory,1
Profiling (computer programming),Computation,1
Linked list,Multi-core processor,0
Relational database,Data,1
SQL,Number theory,1
Statistical inference,Abstract data type,0
Unix,Arithmetic,1
Assembly language,Programming language,1
NP-complete,Foundations of mathematics,1
Lock (computer science),Computer science,0
Uncertainty,Floating point,0
Microcode,Programming paradigm,0
Question answering,Computational complexity theory,1
Formal methods,Analysis of algorithms,1
Neural network,Expected value,1
Hash table,Data (computing),1
Spanning tree,C (programming language),0
P versus NP problem,Computability,1
P versus NP problem,Robot,0
Public-key cryptography,Randomness,0
Lisp (programming language),Discrete mathematics,1
Embedded system,Recursively enumerable set,0
