A,B,result
Network security,Security,1
Unix,Large deviations theory,0
Concurrent computing,Computer,1
NP-complete,Encryption,0
Recursion (computer science),Signal processing,0
Parallel computing,Time complexity,1
Formal verification,Monte Carlo method,0
P versus NP problem,Algorithm,1
Artificial intelligence,Computational complexity theory,1
String (computer science),Random variable,0
Combinational logic,Probability,0
Index (database),Database,1
Computer network,Graph (mathematics),1
Cloud computing,Ordinary differential equation,0
Programming paradigm,Computational science,1
Recurrence relation,Mathematics,1
Round-off error,Numerical analysis,1
Traffic analysis,Cryptography,1
Motion planning,Robotics,1
Interaction design,User interface,1
Pipeline (computing),Scope (computer science),0
Pattern matching,Functional programming,1
Computer network,Computer,1
Expert system,Computing,0
Dynamic programming,Recursion,1
Newton's method,Web search engine,0
Lexical analysis,MapReduce,0
Data mining,Programming language,1
Assembly language,Instruction set,1
Polymorphism (computer science),Programming language,1
Linear algebra,Polynomial,1
Software engineering,Programming language,1
Firewall (computing),Server (computing),0
Probability theory,Algorithm design,0
String (computer science),Data structure,1
Prolog,Programming language,1
Integral,Decision theory,0
Linear programming,Algorithm,1
Computer graphics,Algorithm,1
Pushdown automata,String (computer science),1
hypothesis testing,Random variable,1
String searching algorithm,Algorithm,1
Poisson distribution,Probability theory,1
Bayesian,Question answering,0
Programming language,Computer science,1
Cryptanalysis,Mathematics,1
Neural network,Graphics,0
Software development,Peer-to-peer,0
Prolog,String (computer science),1
Nonlinear system,Computational science,0
Firewall (computing),Information security,1
Compiler,Computer architecture,1
Distributed algorithms,Programming style,0
Message Passing Interface,Synchronization,1
Boundary value problem,Nonlinear system,1
Bayesian network,Lazy evaluation,0
Telecommunications network,Computer multitasking,0
Cryptography,Modular arithmetic,1
Virtual reality,Probability,0
Firewall (computing),Network security,1
Algorithm,Theoretical computer science,1
Central processing unit,Computer,1
Mathematical induction,Mathematical proof,1
Lexical analysis,Finite-state machine,1
Polymorphism (computer science),Message passing,0
MATLAB,Programming language,1
Distributed algorithms,Algorithm,1
SQL,Programming language,1
Web server,Operating system,1
Functional programming,Recursion,1
Finite difference,Stochastic,0
Computational complexity theory,Theory of computation,1
Hidden Markov model,Dynamic programming,1
Reinforcement learning,Machine learning,1
Automated planning and scheduling,Context-free language,0
3D modeling,Graphical user interface,0
Mobile device,Network security,0
Robotics,Software engineering,1
Mathematical proof,Mathematics,1
Algorithm design,Computer science,1
Analysis of algorithms,Computational science,1
Authentication,Partial differential equation,0
Combinational logic,Virtual memory,0
Programming language,Data structure,1
Cryptanalysis,Algorithm,1
PSPACE,Computational complexity theory,1
Neural network,Python (programming language),0
Formal grammar,Traffic analysis,0
Database normalization,Database,1
Algorithm,Problem solving,1
Statistics,Arithmetic,1
Reinforcement learning,Artificial intelligence,1
Machine learning,Expected value,1
Software engineering,Encryption,0
Finite-state machine,Logic,1
Perl,Computer,1
Pushdown automata,Computability,1
Object-oriented programming,Computational learning theory,0
Virtual reality,Computer graphics,1
Query language,Graph (mathematics),0
Mathematical proof,Software engineering,0
Computer vision,Statistical inference,0
Distributed algorithms,Rendering (computer graphics),0
Randomized algorithm,Computational complexity theory,1
Divide and conquer algorithm,Geometry,0
Multi-core processor,Automated planning and scheduling,0
Eigenvalues and eigenvectors,Matrix (mathematics),1
Finite element method,Fixed point (mathematics),0
C (programming language),Computer,1
Perl,Compiler,1
Syntax,Transaction processing,0
C (programming language),Computer programming,1
